date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:27	13/13	---M--	200	added ('OK')	text/plain	date:Mon,%2026%20Dec%202022%2014:41:27%20GMT	https://www.sotaimaging.com/robots.txt		(from )
09:41:27	200138/200138	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Dec%202022%2019:40:59%20GMT	https://www.sotaimaging.com/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/index.html	(from )
09:41:29	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2026%20Dec%202022%2014:41:28%20GMT	https://www.sotaimaging.com/xmlrpc.php	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/xmlrpc.php	(from https://www.sotaimaging.com/)
09:41:29	325/325	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Oct%202021%2016:44:12%20GMT	https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/plugins/wp-fuse/public/css/style.css?ver=1633452252	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/cache/min/1/wp-content/plugins/wp-fuse/public/css/stylef14c.css	(from https://www.sotaimaging.com/)
09:41:29	9427/9427	---M--	200	added ('OK')	image/gif	date:Fri,%2028%20Jan%202022%2015:45:20%20GMT	https://www.sotaimaging.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://www.sotaimaging.com/)
09:41:29	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2014:41:30%20GMT	http://www.sotaimaging.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.3.delayed	(from https://www.sotaimaging.com/)
09:41:30	92564/92564	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2028%20Jan%202022%2015:45:20%20GMT	https://www.sotaimaging.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://www.sotaimaging.com/)
09:41:31	4982/4982	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Oct%202021%2016:44:12%20GMT	https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/et-cache/2138/et-divi-dynamic-tb-1466-tb-2846-2138-late.css?ver=1633452252	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/cache/min/1/wp-content/et-cache/2138/et-divi-dynamic-tb-1466-tb-2846-2138-latef14c.css	(from https://www.sotaimaging.com/)
09:41:31	7576/7576	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2018%20Nov%202022%2019:43:32%20GMT	https://www.sotaimaging.com/feed/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/feed/index.html	(from https://www.sotaimaging.com/)
09:41:31	16779/16779	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Oct%202021%2016:44:12%20GMT	https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/et-cache/2138/et-divi-dynamic-tb-1466-tb-2846-2138.css?ver=1633452252	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/cache/min/1/wp-content/et-cache/2138/et-divi-dynamic-tb-1466-tb-2846-2138f14c.css	(from https://www.sotaimaging.com/)
